genome	test_name	ref_filename	assembly_filename	ref_length	assembly_length	overall_errors	overall_identity	overall_qscore	substitutions	insertions	deletions	repeat_errors	repeat_identity	repeat_qscore	non_repeat_errors	non_repeat_identity	non_repeat_qscore	repeat_percentage	repeat_error_balance	homopolymer_errors	non_homopolymer_errors	lowest_100_bp_identity	lowest_1000_bp_identity	prodigal_count	total_prodigal_length	mean_prodigal_length	total_mapq	total_alignment_score	ale_score	ale_place_avg	ale_insert_avg	ale_kmer_avg	ale_depth_score_avg
NC_002971.4	Polypolish-short	reference_genomes/NC_002971.4.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_002971.4/polypolish-short.fasta.gz	1995488	1995426	66	99.996692540%	44.81	2	1	63	61	99.920954763%	31.02	5	99.999739355%	55.84	3.87%	0.99671	56	10	95%	99.5%	2027	592420	292.264	78600709	195962800	-1921353.885773	-2.099056	-0.283586	-0.138237	-0.030406
NC_002946.2	Polypolish-short	reference_genomes/NC_002946.2.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_002946.2/polypolish-short.fasta.gz	2153922	2153806	116	99.994614475%	42.69	0	0	116	107	99.953471383%	33.32	9	99.999532214%	53.30	10.68%	0.99005	100	16	94%	99.2%	2142	596888	278.659	82368003	211501087	-1949887.265199	-2.158740	-0.283388	-0.125005	0.033765
NC_002942.5	Polypolish-short	reference_genomes/NC_002942.5.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_002942.5/polypolish-short.fasta.gz	3397754	3397749	5	99.999852844%	58.32	0	0	5	2	99.997262974%	45.63	3	99.999909766%	60.45	2.15%	0.96808	4	1	97%	99.7%	3025	1003438	331.715	134575169	333702344	-2840128.955193	-2.028396	-0.282560	-0.158222	0.092676
NC_002967.9	Polypolish-short	reference_genomes/NC_002967.9.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_002967.9/polypolish-short.fasta.gz	2843201	2843171	31	99.998909680%	49.62	1	0	30	26	99.980259062%	37.05	5	99.999815600%	57.34	4.63%	0.99075	15	16	93%	99.1%	2582	870013	336.953	112485255	279232882	-2642618.967180	-2.051449	-0.282713	-0.245929	0.094526
NC_002939.5	Polypolish-short	reference_genomes/NC_002939.5.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_002939.5/polypolish-short.fasta.gz	3814128	3814122	6	99.999842690%	58.03	0	0	6	6	99.993225468%	41.69	0	100.000000000%	inf	2.32%	1.00000	6	0	99%	99.9%	3423	1155492	337.567	150718609	374605702	-3054683.455716	-2.026833	-0.282225	-0.117472	0.086286
NC_002937.3	Polypolish-short	reference_genomes/NC_002937.3.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_002937.3/polypolish-short.fasta.gz	3570858	3570844	24	99.999327893%	51.73	4	3	17	24	99.980883501%	37.19	0	100.000000000%	inf	3.52%	1.00000	13	11	96%	99.6%	3156	1023863	324.418	141363038	350698582	-2923359.050056	-2.044977	-0.282233	-0.133319	0.090383
NC_003030.1	Polypolish-short	reference_genomes/NC_003030.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_003030.1/polypolish-short.fasta.gz	3940880	3940861	38	99.999035750%	50.16	9	5	24	38	99.971295842%	35.42	0	100.000000000%	inf	3.36%	1.00000	20	18	95%	99.5%	3719	1136073	305.478	155343375	387049248	-3805783.529555	-2.035441	-0.281790	-0.259338	0.066042
NC_002929.2	Polypolish-short	reference_genomes/NC_002929.2.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_002929.2/polypolish-short.fasta.gz	4086189	4085863	422	99.989672637%	39.86	10	43	369	422	99.885253123%	29.40	0	100.000000000%	inf	9.00%	1.00000	388	34	95%	99.2%	4014	1231703	306.852	154112582	401199912	-5672043.619816	-2.183746	-0.282203	-0.308063	-0.258070
NC_002947.4	Polypolish-short	reference_genomes/NC_002947.4.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_002947.4/polypolish-short.fasta.gz	6181873	6181848	31	99.999498534%	53.00	0	3	28	31	99.987671947%	39.09	0	100.000000000%	inf	4.07%	1.00000	28	3	98%	99.8%	5588	1826936	326.939	243010775	607135452	-5218064.902664	-2.032745	-0.281568	-0.149678	0.077032
NC_003454.1	Polypolish-short	reference_genomes/NC_003454.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_003454.1/polypolish-short.fasta.gz	2174500	2174456	44	99.997976546%	46.94	0	0	44	38	99.966495618%	34.75	6	99.999708891%	55.36	5.22%	0.99139	41	3	98%	99.7%	2029	658546	324.567	84580948	213548127	-2293930.901839	-2.075863	-0.284252	-0.329777	0.061548
NC_003210.1	Polypolish-short	reference_genomes/NC_003210.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_003210.1/polypolish-short.fasta.gz	2944528	2944524	4	99.999864155%	58.67	0	0	4	4	99.992679758%	41.35	0	100.000000000%	inf	1.86%	1.00000	4	0	99%	99.8%	2875	876397	304.834	116491089	289199835	-2511724.027186	-2.028017	-0.282744	-0.171552	0.088788
NC_003098.1	Polypolish-short	reference_genomes/NC_003098.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_003098.1/polypolish-short.fasta.gz	2038615	2038589	26	99.998724624%	48.94	0	0	26	26	99.982619159%	37.60	0	100.000000000%	inf	7.34%	1.00000	25	1	98%	99.7%	1989	582878	293.051	80234406	200196909	-1665442.969278	-2.073833	-0.283902	-0.119166	0.088153
NC_003450.3	Polypolish-short	reference_genomes/NC_003450.3.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_003450.3/polypolish-short.fasta.gz	3309401	3309389	14	99.999576963%	53.74	0	1	13	14	99.988252767%	39.30	0	100.000000000%	inf	3.60%	1.00000	14	0	98%	99.8%	3072	963954	313.787	130159981	325029038	-2435618.684555	-2.034462	-0.282883	-0.048668	0.085164
NC_003047.1	Polypolish-short	reference_genomes/NC_003047.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_003047.1/polypolish-short.fasta.gz	3654135	3654122	17	99.999534774%	53.32	0	2	15	15	99.989101689%	39.63	2	99.999943125%	62.45	3.77%	0.99481	15	2	98%	99.8%	3393	1051754	309.978	143687912	358877767	-3212819.962202	-2.041542	-0.282818	-0.193686	0.089243
NC_003197.2	Polypolish-short	reference_genomes/NC_003197.2.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_003197.2/polypolish-short.fasta.gz	4857450	4857427	25	99.999485327%	52.88	0	1	24	25	99.984950185%	38.22	0	100.000000000%	inf	3.42%	1.00000	22	3	98%	99.8%	4521	1415556	313.107	191594511	477074654	-3727482.409196	-2.024242	-0.281793	-0.077232	0.078547
NC_003997.3	Polypolish-short	reference_genomes/NC_003997.3.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_003997.3/polypolish-short.fasta.gz	5227293	5227263	34	99.999349568%	51.87	0	2	32	32	99.975147754%	36.05	2	99.999960773%	64.06	2.46%	0.99842	25	9	95%	99.5%	5474	1467875	268.154	207042314	513389869	-4615106.502737	-2.030066	-0.281637	-0.186051	0.073731
NC_003143.1	Polypolish-short	reference_genomes/NC_003143.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_003143.1/polypolish-short.fasta.gz	4653728	4653519	302	99.993510615%	41.88	41	26	235	294	99.916240032%	30.77	8	99.999814072%	57.31	7.54%	0.99779	220	82	92%	97.6%	4145	1294900	312.400	179295527	456987893	-4668769.118748	-2.119613	-0.283158	-0.049210	-0.153080
NC_003902.1	Polypolish-short	reference_genomes/NC_003902.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_003902.1/polypolish-short.fasta.gz	5076188	5076167	29	99.999428706%	52.43	0	4	25	27	99.987662614%	39.09	2	99.999958825%	63.85	4.31%	0.99667	19	10	95%	99.5%	4294	1445272	336.579	199876072	498553176	-4638258.643018	-2.027679	-0.281673	-0.234939	0.090992
NC_003888.3	Polypolish-short	reference_genomes/NC_003888.3.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_003888.3/polypolish-short.fasta.gz	8667507	8667488	19	99.999780790%	56.59	0	0	19	19	99.993593699%	41.93	0	100.000000000%	inf	3.42%	1.00000	18	1	98%	99.7%	7737	2556388	330.411	342069844	851274383	-8231295.901997	-2.018273	-0.281426	-0.271473	0.088381
NC_004350.2	Polypolish-short	reference_genomes/NC_004350.2.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004350.2/polypolish-short.fasta.gz	2032925	2032923	7	99.999655669%	54.63	3	1	3	1	99.998660326%	48.73	6	99.999693609%	55.14	3.67%	0.81386	1	6	94%	99.4%	1899	580726	305.806	79635611	199663124	-1768966.344846	-2.054649	-0.283765	-0.178411	0.087721
NC_004307.2	Polypolish-short	reference_genomes/NC_004307.2.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004307.2/polypolish-short.fasta.gz	2256640	2256641	1	99.999955686%	63.53	0	1	0	0	100.000000000%	inf	1	99.999954145%	63.39	3.36%	0.00000	1	0	99%	99.9%	1829	654023	357.585	88349594	221631537	-1826293.555727	-2.045892	-0.283666	-0.119895	0.087113
NC_004116.1	Polypolish-short	reference_genomes/NC_004116.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004116.1/polypolish-short.fasta.gz	2160267	2160257	12	99.999444513%	52.55	0	1	11	12	99.987135230%	38.91	0	100.000000000%	inf	4.32%	1.00000	10	2	99%	99.8%	2105	632127	300.298	83864999	212169810	-1890230.761758	-2.041809	-0.283509	-0.170513	0.070615
NC_004461.1	Polypolish-short	reference_genomes/NC_004461.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004461.1/polypolish-short.fasta.gz	2499279	2499238	45	99.998199482%	47.45	0	2	43	45	99.960295402%	34.01	0	100.000000000%	inf	4.53%	1.00000	42	3	98%	99.6%	2284	691900	302.933	98204712	245450118	-2375692.224812	-2.066162	-0.283825	-0.228575	0.061347
NC_004113.1	Polypolish-short	reference_genomes/NC_004113.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004113.1/polypolish-short.fasta.gz	2593857	2593791	68	99.997378422%	45.81	0	1	67	66	99.959007739%	33.87	2	99.999917792%	60.85	6.21%	0.99800	65	3	98%	99.7%	2518	776353	308.321	101299698	254716816	-2151367.230328	-2.091614	-0.283420	-0.067461	0.029726
NC_004567.2	Polypolish-short	reference_genomes/NC_004567.2.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004567.2/polypolish-short.fasta.gz	3308273	3308256	17	99.999486137%	52.89	0	0	17	16	99.986477692%	38.69	1	99.999968652%	65.04	3.58%	0.99769	16	1	98%	99.8%	3090	930076	300.995	130689381	324915762	-2481915.676102	-2.040817	-0.282587	-0.066642	0.090893
NC_004337.2	Polypolish-short	reference_genomes/NC_004337.2.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004337.2/polypolish-short.fasta.gz	4607202	4606994	292	99.993662148%	41.98	10	37	245	281	99.947397978%	32.79	11	99.999729931%	55.69	11.59%	0.99489	248	44	89%	98.8%	4752	1329465	279.770	171639854	452384661	-4272153.177329	-2.142734	-0.282974	-0.057493	-0.061193
NC_004347.2	Polypolish-short	reference_genomes/NC_004347.2.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004347.2/polypolish-short.fasta.gz	4969811	4969729	108	99.997826885%	46.63	0	13	95	108	99.971500724%	35.45	0	100.000000000%	inf	7.62%	1.00000	92	16	96%	99.6%	4458	1411231	316.561	191306927	488092122	-4197284.431507	-2.040997	-0.281544	-0.056325	-0.014054
NC_004578.1	Polypolish-short	reference_genomes/NC_004578.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004578.1/polypolish-short.fasta.gz	6397126	6397071	118	99.998155430%	47.34	5	29	84	118	99.971943773%	35.52	0	100.000000000%	inf	6.57%	1.00000	85	33	95%	99.5%	5738	1872720	326.372	247036395	628264424	-5395063.021350	-2.046864	-0.281558	-0.108183	0.041007
NC_004463.1	Polypolish-short	reference_genomes/NC_004463.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004463.1/polypolish-short.fasta.gz	9105828	9105789	43	99.999527775%	53.26	0	2	41	43	99.987864865%	39.16	0	100.000000000%	inf	3.89%	1.00000	40	3	98%	99.8%	8504	2584856	303.958	359869500	894307975	-8399841.784122	-2.021024	-0.281615	-0.219746	0.064831
NC_006055.1	Polypolish-short	reference_genomes/NC_006055.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_006055.1/polypolish-short.fasta.gz	793224	793223	1	99.999873932%	58.99	0	0	1	1	99.994924631%	42.95	0	100.000000000%	inf	2.48%	1.00000	0	1	99%	99.9%	1474	181004	122.798	31290902	77906494	-827107.142514	-2.114735	-0.289246	-0.333711	0.092311
NC_005042.1	Polypolish-short	reference_genomes/NC_005042.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_005042.1/polypolish-short.fasta.gz	1751080	1751079	1	99.999942892%	62.43	0	0	1	0	100.000000000%	inf	1	99.999942640%	62.41	0.44%	0.00000	1	0	99%	99.9%	1908	520189	272.636	70025918	171981780	-1484183.700532	-2.040131	-0.284193	-0.159390	0.086578
NC_006461.1	Polypolish-short	reference_genomes/NC_006461.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_006461.1/polypolish-short.fasta.gz	1849742	1849733	9	99.999513446%	53.13	0	0	9	9	99.973223052%	35.72	0	100.000000000%	inf	1.82%	1.00000	9	0	98%	99.6%	1948	585644	300.639	73278601	181673318	-1837643.710466	-2.045259	-0.284148	-0.299110	0.082117
NC_004668.1	Polypolish-short	reference_genomes/NC_004668.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004668.1/polypolish-short.fasta.gz	3218031	3218010	21	99.999347427%	51.85	0	0	21	21	99.984001219%	37.96	0	100.000000000%	inf	4.08%	1.00000	21	0	98%	99.8%	3121	941789	301.759	127067341	316053801	-2864889.688328	-2.044179	-0.282801	-0.187365	0.072761
NC_005945.1	Polypolish-short	reference_genomes/NC_005945.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_005945.1/polypolish-short.fasta.gz	5228663	5228633	34	99.999349738%	51.87	0	2	32	32	99.975404481%	36.09	2	99.999960773%	64.06	2.49%	0.99841	30	4	96%	99.6%	5472	1468434	268.354	207101548	513511693	-4627646.415090	-2.033204	-0.281586	-0.186032	0.072585
NC_006347.1	Polypolish-short	reference_genomes/NC_006347.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_006347.1/polypolish-short.fasta.gz	5277274	5277242	36	99.999317830%	51.66	0	2	34	28	99.981082487%	37.23	8	99.999844032%	58.07	2.80%	0.99182	28	8	92%	99.2%	4384	1565596	357.116	209013033	518292307	-3992901.542824	-2.029697	-0.281527	-0.071544	0.085329
NC_004722.1	Polypolish-short	reference_genomes/NC_004722.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004722.1/polypolish-short.fasta.gz	5411809	5411752	59	99.998909792%	49.62	0	1	58	47	99.976458685%	36.28	12	99.999769769%	56.38	3.69%	0.99031	58	1	89%	98.9%	5520	1513799	274.239	213530539	531500528	-4862376.966462	-2.041791	-0.281598	-0.187795	0.063780
NC_005125.1	Polypolish-short	reference_genomes/NC_005125.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_005125.1/polypolish-short.fasta.gz	4659019	4659000	21	99.999549261%	53.46	0	1	20	21	99.986111111%	38.57	0	100.000000000%	inf	3.25%	1.00000	21	0	97%	99.7%	4518	1383972	306.324	185135567	457568343	-3882160.306211	-2.032346	-0.281320	-0.148427	0.086390
NC_004663.1	Polypolish-short	reference_genomes/NC_004663.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_004663.1/polypolish-short.fasta.gz	6260361	6260318	47	99.999249245%	51.25	0	2	45	47	99.977993679%	36.57	0	100.000000000%	inf	3.41%	1.00000	33	14	87%	98.7%	4912	1875773	381.876	247266074	614843896	-4790760.304425	-2.029883	-0.281852	-0.075311	0.080650
NC_005027.1	Polypolish-short	reference_genomes/NC_005027.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_005027.1/polypolish-short.fasta.gz	7145576	7145532	46	99.999356245%	51.91	0	1	45	46	99.980463607%	37.09	0	100.000000000%	inf	3.30%	1.00000	26	20	93%	99.3%	5476	2116923	386.582	282946950	701801033	-5572018.130619	-2.022804	-0.281425	-0.092568	0.080867
NC_006814.3	Polypolish-short	reference_genomes/NC_006814.3.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_006814.3/polypolish-short.fasta.gz	1993560	1993557	4	99.999799354%	56.98	1	0	3	4	99.993211249%	41.68	0	100.000000000%	inf	2.96%	1.00000	3	1	99%	99.9%	1880	588776	313.179	78682231	195796225	-1764199.611979	-2.050835	-0.284060	-0.193500	0.086849
NC_006570.2	Polypolish-short	reference_genomes/NC_006570.2.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_006570.2/polypolish-short.fasta.gz	1892775	1892707	77	99.995931905%	43.91	3	3	71	77	99.949062957%	32.93	0	100.000000000%	inf	7.99%	1.00000	60	17	91%	99.1%	2032	562671	276.905	71026596	185892520	-2131364.208953	-2.072433	-0.284960	-0.221316	-0.118951
NC_007929.1	Polypolish-short	reference_genomes/NC_007929.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_007929.1/polypolish-short.fasta.gz	1827111	1827074	44	99.997591831%	46.18	1	3	40	43	99.961814775%	34.18	1	99.999941674%	62.34	6.16%	0.99847	41	3	98%	99.7%	1787	532813	298.161	70770878	179432738	-1725395.512623	-2.087739	-0.283670	-0.201552	0.047685
NC_007644.1	Polypolish-short	reference_genomes/NC_007644.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_007644.1/polypolish-short.fasta.gz	2628784	2628781	5	99.999809798%	57.21	0	1	4	5	99.992016605%	40.98	0	100.000000000%	inf	2.38%	1.00000	5	0	99%	99.9%	2639	773317	293.034	104299641	258183053	-2138930.705424	-2.029676	-0.282808	-0.127442	0.084611
NC_007795.1	Polypolish-short	reference_genomes/NC_007795.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_007795.1/polypolish-short.fasta.gz	2821361	2821354	43	99.998475923%	48.17	0	18	25	42	99.966870701%	34.80	1	99.999962889%	64.30	4.49%	0.99888	23	20	82%	98.2%	2635	788168	299.115	111716682	277076588	-2589604.965713	-2.068407	-0.282670	-0.217014	0.082846
NC_008526.1	Polypolish-short	reference_genomes/NC_008526.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_008526.1/polypolish-short.fasta.gz	2895264	2895242	30	99.998963826%	49.85	2	3	25	30	99.985448619%	38.37	0	100.000000000%	inf	7.12%	1.00000	22	8	97%	99.7%	2814	820020	291.407	111167733	284347119	-2233003.590810	-2.043988	-0.282835	-0.071656	0.076001
NC_007677.1	Polypolish-short	reference_genomes/NC_007677.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_007677.1/polypolish-short.fasta.gz	3551823	3551815	10	99.999718455%	55.50	0	1	9	10	99.984437735%	38.08	0	100.000000000%	inf	1.81%	1.00000	10	0	99%	99.9%	3008	1010846	336.053	141649353	348845257	-3143716.268493	-2.032600	-0.282642	-0.187202	0.073849
NC_007643.1	Polypolish-short	reference_genomes/NC_007643.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_007643.1/polypolish-short.fasta.gz	4352825	4352792	34	99.999218898%	51.07	1	0	33	21	99.978274589%	36.63	13	99.999694561%	55.15	2.22%	0.98614	23	11	91%	99.1%	3848	1284553	333.824	173142532	427496214	-4062415.498682	-2.040650	-0.281816	-0.249437	0.090307
NC_007005.1	Polypolish-short	reference_genomes/NC_007005.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_007005.1/polypolish-short.fasta.gz	6093698	6093645	57	99.999064608%	50.29	0	2	55	51	99.980372310%	37.07	6	99.999897152%	59.88	4.26%	0.99479	49	8	94%	99.4%	5217	1788505	342.823	242015880	598466369	-4871101.401514	-2.039879	-0.281716	-0.116245	0.090763
NC_007606.1	Polypolish-short	reference_genomes/NC_007606.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_007606.1/polypolish-short.fasta.gz	4369232	4368617	788	99.981965116%	37.44	17	78	693	788	99.889300655%	29.56	0	100.000000000%	inf	16.29%	1.00000	710	78	95%	99.3%	4960	1235147	249.022	159800305	428886165	-5507248.515043	-2.338410	-0.284819	-0.058977	-0.327099
NC_009009.1	Polypolish-short	reference_genomes/NC_009009.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_009009.1/polypolish-short.fasta.gz	2388435	2388430	5	99.999790658%	56.79	0	0	5	4	99.994814556%	42.85	1	99.999956734%	63.64	3.23%	0.99173	5	0	99%	99.9%	2273	708236	311.586	94725208	234577425	-1847328.282913	-2.025770	-0.282952	-0.092158	0.088284
NC_009613.3	Polypolish-short	reference_genomes/NC_009613.3.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_009613.3/polypolish-short.fasta.gz	2860382	2860307	78	99.997273092%	45.64	1	1	76	73	99.961679388%	34.17	5	99.999812726%	57.28	6.66%	0.99514	73	5	98%	99.4%	2517	828878	329.312	110979999	280894096	-3038084.152270	-2.086005	-0.283251	-0.307432	0.035050
NC_009636.1	Polypolish-short	reference_genomes/NC_009636.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_009636.1/polypolish-short.fasta.gz	3781904	3781900	4	99.999894233%	59.76	0	0	4	4	99.993914128%	42.16	0	100.000000000%	inf	1.74%	1.00000	3	1	98%	99.8%	3607	1105195	306.403	150071677	371441429	-3214660.333923	-2.032506	-0.282248	-0.168548	0.090118
NC_008570.1	Polypolish-short	reference_genomes/NC_008570.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_008570.1/polypolish-short.fasta.gz	4744448	4744412	38	99.999199064%	50.96	0	1	37	38	99.968641172%	35.04	0	100.000000000%	inf	2.55%	1.00000	30	8	92%	99.2%	4187	1380186	329.636	187395526	465970541	-4137041.798147	-2.026876	-0.281651	-0.153244	0.050775
NC_010397.1	Polypolish-short	reference_genomes/NC_010397.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_010397.1/polypolish-short.fasta.gz	5067172	5067171	1	99.999980265%	67.05	0	0	1	1	99.998009792%	47.01	0	100.000000000%	inf	0.99%	1.00000	1	0	99%	99.9%	4963	1570505	316.443	202594376	497674817	-4294066.118715	-2.024613	-0.281612	-0.167111	0.088423
NC_009495.1	Polypolish-short	reference_genomes/NC_009495.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_009495.1/polypolish-short.fasta.gz	3886916	3886886	30	99.999228180%	51.12	0	0	30	30	99.981380453%	37.30	0	100.000000000%	inf	4.15%	1.00000	30	0	99%	99.8%	3552	1055911	297.272	153580207	381751433	-4039318.856950	-2.028958	-0.282011	-0.327813	0.058922
NC_009089.1	Polypolish-short	reference_genomes/NC_009089.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_009089.1/polypolish-short.fasta.gz	4290252	4290207	62	99.998554865%	48.40	7	5	50	53	99.981283725%	37.28	9	99.999775398%	56.49	6.60%	0.98814	33	29	94%	99.4%	3829	1185217	309.537	166739324	421334933	-4316766.353525	-2.047274	-0.281977	-0.278511	0.048743
NC_008800.1	Polypolish-short	reference_genomes/NC_008800.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_008800.1/polypolish-short.fasta.gz	4615899	4615859	41	99.999111766%	50.51	1	0	40	41	99.980300206%	37.06	0	100.000000000%	inf	4.51%	1.00000	34	7	94%	99.4%	4175	1310305	313.846	181333906	453332906	-3441724.710788	-2.034193	-0.281691	-0.056203	0.082539
NC_008596.1	Polypolish-short	reference_genomes/NC_008596.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_008596.1/polypolish-short.fasta.gz	6988209	6988200	87	99.998755051%	49.05	18	30	39	87	99.972359542%	35.58	0	100.000000000%	inf	4.50%	1.00000	27	60	90%	97.1%	6699	2152848	321.369	270675353	686349421	-6541749.860080	-2.015998	-0.281867	-0.223023	0.052872
NC_010175.1	Polypolish-short	reference_genomes/NC_010175.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_010175.1/polypolish-short.fasta.gz	5258541	5258429	119	99.997737016%	46.45	1	3	115	108	99.968699372%	35.04	11	99.999776127%	56.50	6.56%	0.99290	94	25	93%	98.6%	4343	1470503	338.592	209043282	516408533	-4084816.043445	-2.074523	-0.281775	-0.079855	0.088490
NC_013522.1	Polypolish-short	reference_genomes/NC_013522.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_013522.1/polypolish-short.fasta.gz	1848474	1848470	4	99.999783605%	56.65	0	0	4	4	99.991000112%	40.46	0	100.000000000%	inf	2.40%	1.00000	4	0	98%	99.8%	1762	573252	325.342	73210456	181540881	-1650863.586900	-2.048222	-0.284041	-0.205475	0.089796
NC_011661.1	Polypolish-short	reference_genomes/NC_011661.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_011661.1/polypolish-short.fasta.gz	1855560	1855557	3	99.999838324%	57.91	0	0	3	3	99.992485346%	41.24	0	100.000000000%	inf	2.15%	1.00000	3	0	99%	99.8%	1818	582545	320.432	73577183	182241385	-1683962.207022	-2.044676	-0.284126	-0.223817	0.092561
NC_012926.1	Polypolish-short	reference_genomes/NC_012926.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_012926.1/polypolish-short.fasta.gz	2146229	2146207	28	99.998695387%	48.85	4	1	23	27	99.985404774%	38.36	1	99.999949012%	62.93	8.62%	0.99652	24	4	98%	99.8%	2045	627128	306.664	83284490	210765049	-1743883.969272	-2.082084	-0.283771	-0.101442	0.077521
NC_013853.1	Polypolish-short	reference_genomes/NC_013853.1.fasta	/home/ubuntu/hybrid_polishing/simulated_read_tests/polished_genomes/NC_013853.1/polypolish-short.fasta.gz	2146611	2146540	88	99.995900524%	43.87	7	5	76	88	99.952728581%	33.25	0	100.000000000%	inf	8.67%	1.00000	74	14	96%	99.5%	2079	626997	301.586	82144044	210799024	-2027885.736977	-2.103481	-0.285989	-0.115903	-0.032305
